,Model,Source,Split,Dataset,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,num_nonzero_coefs,prot_length
681,ESM-2 650M,cellular,Site Split,MK01_HUMAN_Johannessen,2,0.1575662912535338,0.6727231506707579,0.914478471473084,0.084370287198523,0.7185341939587503,0.9607777947095024,0.4520019055332256,0.3254307565285799,87,360
682,ESM-2 650M,cellular,Site Split,MK01_HUMAN_Johannessen,3,0.1323283924338647,0.6887505906228123,0.930104172986705,0.0888179512476422,0.7209102970643835,0.95990587336877,0.4229392365867765,0.3313828768612556,64,360
683,ESM-2 650M,cellular,Site Split,MK01_HUMAN_Johannessen,4,0.170997434426683,0.673272621215494,0.9126699512019724,0.0303980714508663,0.7266984746347054,0.9750491316161922,0.4644276880576566,0.2313246114486719,89,360
684,ESM-2 650M,cellular,Site Split,MK01_HUMAN_Johannessen,5,0.2096728254821455,0.6541569147396973,0.8908241962400298,0.0301259232842079,0.7294455686639347,0.971613377142041,0.5106670533919595,0.2801007264335316,145,360
685,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Palzkill2012,1,0.2713005310826026,0.7198426519832822,0.8572755177517738,0.1994134485482113,0.7255612308637148,0.8692258478215564,0.5451364327497509,0.4949532292304609,37,286
686,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Palzkill2012,2,0.2704120130590612,0.7207471689560998,0.8556542344112036,0.2092411425594982,0.7311479909951469,0.8787106503515907,0.5467676353999374,0.4796981944167663,35,286
687,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Palzkill2012,3,0.3531561451813892,0.664405962623612,0.7985145210160175,0.3243937447507441,0.7030536570445042,0.840909628061108,0.6178450148551141,0.6128474386376942,68,286
688,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Palzkill2012,4,0.3162867153165833,0.6853912574721315,0.8201887808248748,0.181711382737672,0.7796306083483556,0.9329822178509256,0.5948382221188079,0.4669600602941946,55,286
689,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Palzkill2012,5,0.3563979101586639,0.6677643958196959,0.8070744102983866,0.1441276484558258,0.756522711119678,0.8994801256984315,0.6251438976314055,0.4611945138166277,70,286
690,ESM-2 650M,cellular,Site Split,KKA2_KLEPN_Mikkelsen2014,1,0.4622952989569576,0.5708763679695388,0.7353546990758844,0.2889282461735279,0.6709123743042524,0.8325443882114237,0.7364600319756283,0.5895575641195614,136,264
691,ESM-2 650M,cellular,Site Split,KKA2_KLEPN_Mikkelsen2014,2,0.4760004907110201,0.567638257291261,0.7341814249611688,0.2623653204696328,0.6556796268004549,0.8053119727973076,0.7447656520208926,0.5781596260837544,149,264
692,ESM-2 650M,cellular,Site Split,KKA2_KLEPN_Mikkelsen2014,3,0.465036326586686,0.5719528694699206,0.7331742342624531,0.2792441553095016,0.6680486641403435,0.8390982840911643,0.7386494346154167,0.5871728694766033,150,264
693,ESM-2 650M,cellular,Site Split,KKA2_KLEPN_Mikkelsen2014,4,0.4664571351192909,0.572832031167461,0.7342417857081115,0.3119282699741936,0.6413449566816769,0.8056667246836721,0.736765188689065,0.6247652701927541,145,264
694,ESM-2 650M,cellular,Site Split,KKA2_KLEPN_Mikkelsen2014,5,0.5005891489853498,0.5501441408399064,0.7118579788239544,0.3464941424041602,0.6223079134315672,0.7825068164651502,0.7611259588317792,0.6591989756045523,212,264
695,ESM-2 650M,cellular,Site Split,RL401_YEAST_Fraser2016,1,0.4057666763683567,0.5971381962022653,0.7679769455920005,0.3757411451161601,0.6454505497909102,0.7991246788969851,0.6423658068854097,0.6142362004375346,30,128
696,ESM-2 650M,cellular,Site Split,RL401_YEAST_Fraser2016,2,0.5649558815342398,0.4621587279740159,0.6243820445528276,0.0059588609110298,0.8607931020990259,1.13674705140195,0.737068422668015,0.43221744731681,78,128
697,ESM-2 650M,cellular,Site Split,RL401_YEAST_Fraser2016,3,0.5162631391077511,0.526101053306292,0.6907746148289459,0.3624080516014349,0.6357896422600047,0.8189101500862438,0.7171934298399304,0.5694682097793254,58,128
698,ESM-2 650M,cellular,Site Split,RL401_YEAST_Fraser2016,4,0.4389918017227707,0.5818661839471063,0.7536408835651054,0.3225025586653651,0.645851307100907,0.8003921126030105,0.6706869946434155,0.5418542073327371,36,128
699,ESM-2 650M,cellular,Site Split,RL401_YEAST_Fraser2016,5,0.4556679718857276,0.5502809263114323,0.7122182718913251,0.3856148106860633,0.6896027744048067,0.8762243654330603,0.6727394996591296,0.641494542291831,44,128
700,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2013,1,0.6001240992704163,0.4430305270834065,0.618056060619817,0.186039253681595,0.665363371906962,0.9603906083261664,0.7638697152214224,0.5727947975836948,52,128
701,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2013,2,0.5932415150378475,0.4885826260968089,0.658265040846248,0.271095437439077,0.4907842353379405,0.683697763684382,0.7889400873204581,0.4837625853478002,63,128
702,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2013,3,0.6140671144928507,0.462521443670612,0.6327145598485638,0.2967431983953617,0.5201507743054381,0.7617814562245429,0.7979314911724991,0.5062452613328473,71,128
703,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2013,4,0.6545956208296386,0.4346676707697393,0.6014424925169842,-0.0443046183556308,0.714799301839075,0.916963424475432,0.7876036274949414,0.4026101370196775,69,128
704,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2013,5,0.6205577201950694,0.4323870198268564,0.5997056024737304,0.3517642572772208,0.6707659201143067,0.8743629470779464,0.7804756216317482,0.5788671366320957,78,128
705,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2014,1,0.7336817787344018,0.3795395347940589,0.5218426750705962,0.3918983167265579,0.5570551505107182,0.7401608085645507,0.7620350350009583,0.5524073884661735,144,128
706,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2014,2,0.693415982027369,0.4115406983451956,0.5601333991166944,0.3226459821047766,0.5556256927770292,0.7776326783647232,0.7351501709000792,0.5302393541612086,99,128
707,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2014,3,0.6409313916265705,0.4533729190930897,0.6073145618007391,0.4124096660881589,0.4999097560837887,0.7003446732574713,0.7519727371945367,0.5238127674809858,85,128
708,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2014,4,0.3726623701539123,0.5713245030550709,0.7416436606743052,0.0508192740795273,0.8005877479390142,1.1316657504136758,0.5255415552402876,0.4048116405047932,18,128
709,ESM-2 650M,cellular,Site Split,RL401_YEAST_Bolon2014,5,0.6157965102294992,0.4919895774113695,0.6502130505353093,0.0633816155282586,0.5434946659051518,0.706230066435745,0.7095184875815166,0.3899172558115821,64,128
710,ESM-2 650M,cellular,Site Split,B3VI55_LIPSTSTABLE,1,0.3796651233168678,0.6330987749533723,0.7876125243618172,0.2672005124394616,0.6829341707255904,0.85532312944748,0.6545413742964441,0.557217609964435,112,439
